ticker,name,date,open,high,low,close,volume
VTI,Vanguard Total Stock Market ETF,2023-11-16,222.3,222.88,221.6,222.55,2754500
VTI,Vanguard Total Stock Market ETF,2023-11-15,222.86,223.8,222.29,222.7,2819245
VTI,Vanguard Total Stock Market ETF,2023-11-14,220.51,222.78,220.51,222.15,4055100
VTI,Vanguard Total Stock Market ETF,2023-11-13,216.81,217.86,216.34,217.33,2829434
VTI,Vanguard Total Stock Market ETF,2023-11-10,215.1,217.61,214.45,217.46,3303916
VTI,Vanguard Total Stock Market ETF,2023-11-09,216.63,216.78,214.06,214.27,2771200
VTI,Vanguard Total Stock Market ETF,2023-11-08,216.34,216.72,215.0,216.11,2813801
VTI,Vanguard Total Stock Market ETF,2023-11-07,215.38,216.5,214.9,216.14,3194330
VTI,Vanguard Total Stock Market ETF,2023-11-06,215.83,216.07,214.47,215.5,2915024
VTI,Vanguard Total Stock Market ETF,2023-11-03,214.32,216.2,214.27,215.41,4217119
VTI,Vanguard Total Stock Market ETF,2023-11-02,210.85,213.11,210.85,213.01,4111600
VTI,Vanguard Total Stock Market ETF,2023-11-01,207.14,209.22,206.87,208.86,5789300
VTI,Vanguard Total Stock Market ETF,2023-10-31,205.63,207.0,204.82,206.79,3325300
VTI,Vanguard Total Stock Market ETF,2023-10-30,204.53,205.98,203.76,205.46,3562700
VTI,Vanguard Total Stock Market ETF,2023-10-27,205.0,205.11,202.44,203.12,4290700
VTI,Vanguard Total Stock Market ETF,2023-10-26,205.92,206.36,203.63,204.22,4133400
VTI,Vanguard Total Stock Market ETF,2023-10-25,208.45,208.54,206.09,206.36,3454535
VTI,Vanguard Total Stock Market ETF,2023-10-24,209.07,210.21,208.12,209.47,3180907
VTI,Vanguard Total Stock Market ETF,2023-10-23,207.67,209.97,206.66,207.9,5473000
VTI,Vanguard Total Stock Market ETF,2023-10-20,210.86,211.05,208.38,208.47,4447576
VTI,Vanguard Total Stock Market ETF,2023-10-19,213.4,214.35,210.69,211.08,4322728
VTI,Vanguard Total Stock Market ETF,2023-10-18,215.11,215.63,212.59,213.09,3255000
VTI,Vanguard Total Stock Market ETF,2023-10-17,214.37,217.38,214.17,216.29,3627700
VTI,Vanguard Total Stock Market ETF,2023-10-16,214.73,216.46,214.56,216.01,3361600
VTI,Vanguard Total Stock Market ETF,2023-10-13,215.53,216.01,212.75,213.53,3269321
VTI,Vanguard Total Stock Market ETF,2023-10-12,216.63,216.72,213.53,214.74,3244200
VTI,Vanguard Total Stock Market ETF,2023-10-11,216.2,216.63,214.88,216.48,3033014
VTI,Vanguard Total Stock Market ETF,2023-10-10,214.6,216.95,214.57,215.63,3494612
VTI,Vanguard Total Stock Market ETF,2023-10-09,211.91,214.65,211.76,214.3,2869741
VTI,Vanguard Total Stock Market ETF,2023-10-06,209.06,213.78,208.57,212.96,3666530
VTI,Vanguard Total Stock Market ETF,2023-10-05,210.38,210.86,208.78,210.45,2679700
VTI,Vanguard Total Stock Market ETF,2023-10-04,209.23,210.89,208.4,210.56,3045402
VTI,Vanguard Total Stock Market ETF,2023-10-03,211.0,211.69,208.33,209.05,4389145
VTI,Vanguard Total Stock Market ETF,2023-10-02,212.2,212.85,210.74,212.13,4358137
VTI,Vanguard Total Stock Market ETF,2023-09-29,214.55,214.67,211.79,212.41,4441367
VTI,Vanguard Total Stock Market ETF,2023-09-28,211.42,213.87,211.14,213.03,2952400
VTI,Vanguard Total Stock Market ETF,2023-09-27,212.12,212.46,209.84,211.63,4407300
VTI,Vanguard Total Stock Market ETF,2023-09-26,213.06,213.43,211.01,211.41,4371935
VTI,Vanguard Total Stock Market ETF,2023-09-25,213.15,214.5,212.75,214.5,3440029
VTI,Vanguard Total Stock Market ETF,2023-09-22,214.68,215.3,213.4,213.64,3262885
VTI,Vanguard Total Stock Market ETF,2023-09-21,216.36,216.42,213.98,214.09,4194994
VTI,Vanguard Total Stock Market ETF,2023-09-20,221.13,221.49,218.45,218.54,2448400
VTI,Vanguard Total Stock Market ETF,2023-09-19,220.61,220.87,219.17,220.49,2978021
VTI,Vanguard Total Stock Market ETF,2023-09-18,220.91,221.69,220.55,221.05,2259600
VTI,Vanguard Total Stock Market ETF,2023-09-15,222.89,222.92,220.76,221.03,2639169
VTI,Vanguard Total Stock Market ETF,2023-09-14,222.85,223.98,222.34,223.66,2002400
VTI,Vanguard Total Stock Market ETF,2023-09-13,221.79,222.3,221.1,221.76,1990000
VTI,Vanguard Total Stock Market ETF,2023-09-12,222.14,222.97,221.45,221.73,2448512
VTI,Vanguard Total Stock Market ETF,2023-09-11,222.66,223.04,221.95,222.81,2087940
VTI,Vanguard Total Stock Market ETF,2023-09-08,221.21,222.18,220.98,221.42,2244708
VTI,Vanguard Total Stock Market ETF,2023-09-07,220.38,221.5,220.08,221.18,2964700
VTI,Vanguard Total Stock Market ETF,2023-09-06,222.99,223.18,220.75,221.94,2473700
VTI,Vanguard Total Stock Market ETF,2023-09-05,224.26,224.64,223.28,223.34,2531516
VTI,Vanguard Total Stock Market ETF,2023-09-01,225.34,225.78,223.96,224.68,3047624
VTI,Vanguard Total Stock Market ETF,2023-08-31,224.5,225.18,223.88,223.94,3044000
VTI,Vanguard Total Stock Market ETF,2023-08-30,223.25,224.5,223.05,224.18,2420846
VTI,Vanguard Total Stock Market ETF,2023-08-29,219.94,223.32,219.8,223.19,3160300
VTI,Vanguard Total Stock Market ETF,2023-08-28,219.57,220.32,219.1,219.99,2364716
VTI,Vanguard Total Stock Market ETF,2023-08-25,217.98,219.24,216.05,218.59,3631038
VTI,Vanguard Total Stock Market ETF,2023-08-24,220.7,221.14,217.08,217.11,3099433
VTI,Vanguard Total Stock Market ETF,2023-08-23,218.08,220.4,218.08,220.06,2560200
VTI,Vanguard Total Stock Market ETF,2023-08-22,219.22,219.22,217.38,217.68,2892300
VTI,Vanguard Total Stock Market ETF,2023-08-21,217.41,218.68,216.36,218.26,2755426
VTI,Vanguard Total Stock Market ETF,2023-08-18,215.23,217.56,215.03,217.01,2933259
VTI,Vanguard Total Stock Market ETF,2023-08-17,219.28,219.5,216.55,216.76,3135922
VTI,Vanguard Total Stock Market ETF,2023-08-16,220.13,220.96,218.55,218.55,2933529
VTI,Vanguard Total Stock Market ETF,2023-08-15,222.0,222.24,220.04,220.37,2997300
VTI,Vanguard Total Stock Market ETF,2023-08-14,221.32,222.92,221.05,222.9,2435100
VTI,Vanguard Total Stock Market ETF,2023-08-11,221.1,222.41,220.77,221.8,2220365
VTI,Vanguard Total Stock Market ETF,2023-08-10,223.24,224.88,221.34,222.01,3033313
VTI,Vanguard Total Stock Market ETF,2023-08-09,223.66,223.69,221.56,221.97,2203402
VTI,Vanguard Total Stock Market ETF,2023-08-08,223.2,223.77,221.7,223.57,2796400
VTI,Vanguard Total Stock Market ETF,2023-08-07,223.72,224.71,223.22,224.61,2376600
VTI,Vanguard Total Stock Market ETF,2023-08-04,224.74,225.84,222.61,222.9,3024603
VTI,Vanguard Total Stock Market ETF,2023-08-03,223.48,224.77,222.99,223.85,2927252
VTI,Vanguard Total Stock Market ETF,2023-08-02,225.99,226.14,224.07,224.5,4243193
VTI,Vanguard Total Stock Market ETF,2023-08-01,227.65,228.0,227.07,227.73,3062774
VTI,Vanguard Total Stock Market ETF,2023-07-31,228.12,228.56,227.56,228.35,2659508
VTI,Vanguard Total Stock Market ETF,2023-07-28,227.17,228.03,226.77,227.66,2260779
VTI,Vanguard Total Stock Market ETF,2023-07-27,228.81,228.97,224.83,225.31,4730600
VTI,Vanguard Total Stock Market ETF,2023-07-26,226.43,227.77,226.05,227.06,1985600
VTI,Vanguard Total Stock Market ETF,2023-07-25,226.02,227.6,226.02,226.89,2084431
VTI,Vanguard Total Stock Market ETF,2023-07-24,226.05,226.71,225.64,226.32,2291700
VTI,Vanguard Total Stock Market ETF,2023-07-21,226.42,226.54,225.46,225.52,2296817
VTI,Vanguard Total Stock Market ETF,2023-07-20,226.61,227.01,225.14,225.54,2651745
VTI,Vanguard Total Stock Market ETF,2023-07-19,227.08,227.76,226.68,227.18,3106700
VTI,Vanguard Total Stock Market ETF,2023-07-18,224.7,226.92,224.53,226.59,2949500
VTI,Vanguard Total Stock Market ETF,2023-07-17,223.95,225.36,223.76,224.8,2688802
VTI,Vanguard Total Stock Market ETF,2023-07-14,224.85,224.86,223.5,223.95,2914073
